Comments,Surrounding Code Context,Class,Source,Intended_Label
// Process array elements by doubling values,"-9.   int string_length(char *str) {
-8.       int count = 0;
-7.       while(str[count] != '\0') count++;
-6.       return count;
-5.   }",Useful,Rule_Generated,Useful
/* Free allocated memory to prevent leaks */,"-8.   void process_array(int arr[], int size) {
-7.       for(int i = 0; i < size; i++) {
-6.           arr[i] = arr[i] * 2;
-5.       }
-4.   }",Useful,Rule_Generated,Useful
/* Calculate the sum of two integers */,"-4.   FILE* open_file(const char* filename) {
-3.       FILE *fp = fopen(filename, ""r"");
-2.       if(fp == NULL) printf(""Error\n"");
-1.       return fp;
0.   }",Useful,Rule_Generated,Useful
// Free allocated memory to prevent leaks,"-7.   void process_array(int arr[], int size) {
-6.       for(int i = 0; i < size; i++) {
-5.           arr[i] = arr[i] * 2;
-4.       }
-3.   }",Useful,Rule_Generated,Useful
/* TEMPORARY */,"-2.   int string_length(char *str) {
-1.       int count = 0;
0.       while(str[count] != '\0') count++;
1.       return count;
2.   }",Not Useful,Rule_Generated,Not Useful
/* Function to initialize variables to default values */,"-10.   void swap_values(int *a, int *b) {
-9.       int temp = *a;
-8.       *a = *b;
-7.       *b = temp;
-6.   }",Useful,Rule_Generated,Useful
/* Calculate string length without using strlen */,"-8.   void swap_values(int *a, int *b) {
-7.       int temp = *a;
-6.       *a = *b;
-5.       *b = temp;
-4.   }",Useful,Rule_Generated,Useful
/* Function to calculate string length without using strlen */,"-4.   int calculate_sum(int a, int b) {
-3.       int result = a + b;
-2.       return result;
-1.   }",Useful,Rule_Generated,Useful
/* This function check for null pointer before access */,"-6.   FILE* open_file(const char* filename) {
-5.       FILE *fp = fopen(filename, ""r"");
-4.       if(fp == NULL) printf(""Error\n"");
-3.       return fp;
-2.   }",Useful,Rule_Generated,Useful
/* Function to free allocated memory to prevent leaks */,"-4.   int calculate_sum(int a, int b) {
-3.       int result = a + b;
-2.       return result;
-1.   }",Useful,Rule_Generated,Useful
/* draft code */,"-1.   int string_length(char *str) {
0.       int count = 0;
1.       while(str[count] != '\0') count++;
2.       return count;
3.   }",Not Useful,Rule_Generated,Not Useful
