Model,Dataset,F1-Score,Accuracy,Type,F1 (%),Accuracy (%)
CodeBERT+MLM,Original,0.9193416802804185,0.9195678271308524,Transformer,91.93,91.96
CodeBERT+MLM,Combined,0.9166231423291671,0.9178935447338619,Transformer,91.66,91.79
Logistic Regression,Combined,0.7066622074884997,0.7287655719139298,Traditional ML,70.67,72.88
Random Forest,Combined,0.6998558693403947,0.7049830124575311,Traditional ML,69.99,70.5
SVM,Combined,0.698494138291279,0.7163080407701019,Traditional ML,69.85,71.63
Naive Bayes,Combined,0.6925298609188756,0.7123442808607021,Traditional ML,69.25,71.23
Logistic Regression,Original,0.6896810417531879,0.7202881152460985,Traditional ML,68.97,72.03
SVM,Original,0.6795587424158852,0.7040816326530612,Traditional ML,67.96,70.41
Naive Bayes,Original,0.6675685761428648,0.7022809123649459,Traditional ML,66.76,70.23
Random Forest,Original,0.6643707843870363,0.6770708283313326,Traditional ML,66.44,67.71
